Date,_,Word,Number of  reported results,Number in hard mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,X,1,2,3,4,5,6,7,-1,-2,-3,-4,-5,-6,-X
2022/1/7,0,slump,80630,1362,1,3,23,39,24,9,1,0.312365387,3.181818182,23.69945898,39.58019396,24,9.155407493,1.070755999,-0.343817307,0.045454546,0.029144124,0.014504849,0,0.015540749,0.035378
2022/1/8,1,crank,101503,1763,1,5,23,31,24,14,2,0.490105916,5.2,22.1534586,33.33199272,24,11.88157167,3.142871093,-0.254947042,0.033333333,-0.035272558,0.072874773,0,-0.141228555,0.380957031
2022/1/9,2,gorge,91477,1913,1,3,13,27,30,22,4,0.30900603,3.1,15.44180596,32.19056747,30,16.0325796,3.026040932,-0.345496985,0.025,0.174414711,0.18537741,0,-0.259453061,-0.194791814
2022/1/10,3,query,107134,2242,1,4,16,30,30,17,2,0.306603581,2.6,16.47718147,32.60964191,29,15.39094818,3.215624858,-0.34669821,-0.28,0.028069498,0.084181997,-0.032258065,-0.089391768,0.405208286
2022/1/11,4,drink,153880,3017,1,9,35,34,16,5,1,0.769046059,8.05,31.19804704,34.59073062,16,6.289160709,3.103015573,-0.115476971,-0.095,-0.105609804,0.016878018,0,0.214860118,1.051507787
2022/1/12,5,favor ,137586,3073,1,4,15,26,29,21,4,0.453239517,4.5,16.85173116,31.57987589,29,15.16503363,2.450119811,-0.273380242,0.1,0.115733198,0.20666207,0,-0.265225744,-0.309976038
2022/1/13,6,abbey,132726,3345,1,2,13,29,31,20,3,0.277293884,2.666666667,14.98207251,32.26701366,30.36363636,16.31610336,3.127213555,-0.361353058,0.222222222,0.141576608,0.108900455,-0.019886364,-0.17542365,0.031803389
2022/1/14,7,tangy,169484,3985,1,4,21,30,24,15,5,0.392348625,4,21.90375881,34.0185034,24,12.03218137,3.653207791,-0.303825688,0,0.041079946,0.129629142,0,-0.185488664,-0.224465368
2022/1/15,8,panic,205880,4655,1,9,35,34,16,5,1,0.841937854,8.75,29.44999666,33.33189205,17.85714286,7.37533513,2.393695449,-0.079031073,-0.025,-0.154166759,-0.019088799,0.109243698,0.395889188,0.696847725
2022/1/16,9,solar,209609,4955,1,9,32,32,18,7,1,0.866720384,9.1,29.36451082,33.1003966,18,7.429344336,2.239027857,-0.066639808,0.01,-0.079863308,0.033345352,0,0.053668042,0.619513929
2022/1/17,10,shire,222197,5640,1,8,32,32,18,8,2,0.769763909,8,28.76968586,33.64721581,18.33333333,7.793831178,2.686169913,-0.115118046,0,-0.097888307,0.049915631,0.017543859,-0.022907647,0.228723304
2022/1/18,11,proxy,220950,6206,1,2,11,24,31,26,6,0.213651188,2,14.15673066,32.45800372,31,16.82482073,3.346793704,-0.393174406,0,0.263060888,0.338320149,0,-0.339821454,-0.379029471
2022/1/19,12,point,280622,7094,1,16,37,28,12,4,1,1.536606724,16,37.32466241,30.80926845,12,2.525287895,-0.195825474,0.268303362,0,0.008543748,0.096871326,0,-0.294942421,-0.597912737
2022/1/20,13,robot,243964,6589,1,8,29,34,20,8,1,0.752044149,7.777777778,26.98857117,33.10131634,20,8.896685703,2.483604858,-0.123977926,-0.024691358,-0.067047628,-0.025676676,0,0.099631745,0.741802429
2022/1/21,14,prick,273727,7409,1,8,30,33,19,7,1,0.771365542,8,28.07943552,33.36783285,19,8.221585459,2.559780629,-0.114317229,0,-0.061953693,0.010818613,0,0.152698182,0.779890315
2022/1/22,15,wince,241489,6850,1,3,17,33,29,15,3,0.306603581,3,16.47718147,32.60964191,29,15.39094818,3.215624858,-0.34669821,0,-0.029045474,-0.01148112,0,0.024434261,0.053906215
2022/1/23,16,crimp,269929,7630,1,5,28,38,20,7,1,0.456980815,4.75,25.83431434,35.01873565,20.38461538,9.599479727,3.955874078,-0.271509593,-0.041666667,-0.074678816,-0.076442676,0.018315018,0.324934966,1.477937039
2022/1/24,17,knoll,258038,8317,1,1,11,29,33,21,4,0.220858536,2,11.05060413,31.20078042,34,18.74971499,2.778041926,-0.389570732,0.5,0.004217011,0.073359347,0.029411765,-0.102285682,-0.244391615
2022/1/25,18,sugar,276404,8708,1,6,25,34,23,9,1,0.631036035,6.5,24.98702512,33.29752848,21.625,10.13178249,2.82762787,-0.184481983,0.071428571,-0.000499034,-0.020070615,-0.057291667,0.113178249,0.913813935
2022/1/26,19,whack,302348,10163,1,4,22,37,24,10,2,0.392348625,4,21.90375881,34.0185034,24,12.03218137,3.653207791,-0.303825688,0,-0.0041844,-0.078460437,0,0.184743761,0.551069264
2022/1/27,20,mount,331844,11451,1,9,29,33,19,7,1,0.771365542,8,28.07943552,33.36783285,19,8.221585459,2.559780629,-0.114317229,-0.1,-0.030685483,0.010818613,0,0.152698182,0.779890315
2022/1/28,21,perky,296968,11148,1,4,17,30,27,17,4,0.301798682,3,18.54793249,33.44779078,27,14.10768534,3.594792711,-0.349100659,-0.2,0.085996249,0.111219057,0,-0.160684148,-0.081041458
2022/1/29,22,could,313220,11592,1,7,29,35,20,8,1,0.6760107,7,26.79436022,33.6352691,20,9.013826582,2.880533401,-0.16199465,0,-0.073521326,-0.037909192,0,0.112647398,0.940266701
2022/1/30,23,wrung,294687,11524,0,2,18,39,27,12,2,0.204041391,2,18.2982327,34.13430146,27,14.25829504,4.105129409,0.204041391,0,0.015696458,-0.121642464,0,0.173715003,0.701709803
2022/1/31,24,light,341314,13347,1,10,25,27,19,12,5,0.966880124,10,28.5788351,31.99481149,19,7.920366056,1.539107232,-0.016559938,0,0.137647504,0.178386125,0,-0.313817996,-0.576815461
2022/2/1,25,those,351663,13606,1,13,34,30,15,6,1,1.250542199,13,33.46943651,31.61157718,15,4.902011264,0.766432842,0.1252711,0,-0.015158957,0.051986361,0,-0.156855534,-0.116783579
2022/2/2,26,moist,361908,14205,3,13,32,29,16,7,1,1.255003891,13,31.54659628,30.83329609,16.85714286,6.093612476,0.414348408,-0.436249027,0,-0.013739507,0.06110987,0.050420168,-0.113298441,-0.292825796
2022/2/3,27,shard,358176,14609,1,7,22,28,25,14,4,0.6863271,7,22.34833597,31.83571417,24.29411765,11.76906739,2.066437718,-0.15683645,0,0.015145042,0.132266006,-0.027149321,-0.148728841,-0.386712456
2022/2/4,28,pleat,359679,14813,1,10,28,31,19,9,2,0.912491385,9.413793103,27.17521767,31.88837268,20.21428571,8.78777837,1.608061071,-0.043754308,-0.053291536,-0.02844077,0.027761646,0.060714285,-0.021222163,-0.13064631
2022/2/5,29,aloft,319698,13708,1,4,22,36,25,11,2,0.402165837,4.125,22.97034679,34.351764,23,11.37172374,3.77899963,-0.298917082,0.025,0.042188991,-0.044546919,-0.076923077,0.030976978,0.592999877
2022/2/6,30,skill,311018,13716,1,3,17,33,27,16,3,0.322379164,3.210526316,18.60050087,33.30326221,27,14.07597803,3.487353406,-0.338810418,0.052631579,0.088916715,0.008919477,0,-0.113177763,0.121838352
2022/2/7,31,elder,288228,13340,1,3,13,24,30,24,5,0.307204193,3,16.21833759,32.5048733,29.25,15.55135604,3.168228877,-0.346397904,0,0.229881256,0.340194932,-0.024193548,-0.337945758,-0.305295187
2022/2/8,32,frame,336236,15369,1,10,20,24,24,17,3,0.976489921,10,24.43733306,30.31851375,23,10.48689174,0.780771527,-0.01175504,0,0.211301574,0.25274055,-0.04,-0.361839348,-0.554807118
2022/2/9,33,humor,305372,13846,1,5,22,34,25,11,2,0.565826333,5.75,21.30535793,32.39803527,25,12.41024582,2.570534643,-0.217086834,0.125,-0.030201829,-0.045770421,0,0.117520485,0.190178214
2022/2/10,34,pause,304830,13480,1,8,26,32,21,10,2,0.650975492,6.666666667,23.45708964,32.54701491,23.14285714,11.08058571,2.454810437,-0.174512254,-0.148148148,-0.094181865,0.016576209,0.097402597,0.098235065,0.151603479
2022/2/11,35,ulcer,278826,10631,1,4,18,30,28,16,3,0.401958422,4,17.76225677,32.34220566,28,14.59870706,2.894872086,-0.299020789,0,-0.012512802,0.075555021,0,-0.082428996,-0.026281979
2022/2/12,36,ultra,269885,9310,1,7,23,34,24,10,1,0.650632285,6.666666667,23.60500043,32.60688269,23,10.98892408,2.481893855,-0.174683858,-0.041666667,0.025208351,-0.039803352,-0.04,0.089902189,0.740946928
2022/2/13,37,robin,277471,3249,1,6,29,34,21,8,1,0.59075897,6.092307692,25.06716542,33.65105531,21.44927536,10.08043446,3.069002783,-0.204620515,0.013186813,-0.131094486,-0.009969848,0.020421607,0.231159384,1.034501392
2022/2/14,38,cynic,261521,10343,1,6,25,33,22,11,2,0.534179663,5.5,24.34905952,33.82688625,22,10.52300398,3.266870596,-0.232910169,-0.071428571,-0.025036172,0.024320184,0,-0.039749668,0.422290199
2022/2/15,39,aroma,287836,10343,1,6,25,33,22,11,2,0.582114489,6,24.88066408,33.64826729,21.60714286,10.19562964,3.086181647,-0.208942756,0,-0.004589843,0.019066685,-0.017080745,-0.067030863,0.362060549
2022/2/16,40,caulk,289721,10740,1,4,20,31,26,15,3,0.397153524,4,19.83300779,33.18035453,26,13.31544422,3.274039939,-0.301423238,0,-0.00795201,0.068136079,0,-0.105284736,0.068509985
2022/2/17,41,shake,342003,12767,1,6,16,23,24,21,9,0.586421737,6,23.0243837,32.8969267,23.4,11.34598312,2.74628475,-0.206789132,0,0.413199041,0.412371946,-0.024,-0.438818949,-0.625371525
2022/2/18,42,dodge,265238,10220,1,3,15,29,27,19,7,0.301798682,3,18.54793249,33.44779078,27,14.10768534,3.594792711,-0.349100659,0,0.221745781,0.148259693,0,-0.244615733,-0.425650911
2022/2/19,43,swill,282327,11241,1,1,8,19,31,30,10,0.213651188,2,14.15673066,32.45800372,31,16.82482073,3.346793704,-0.393174406,0.5,0.684081184,0.672900186,0,-0.425005783,-0.604836936
2022/2/20,44,tacit,273306,11094,1,4,21,32,26,14,3,0.205757426,2,17.55867876,33.83496258,27.71428571,14.7166032,3.969712319,-0.397121287,-0.4,-0.156423693,0.055604927,0.063492063,0.047773547,0.24242808
2022/2/21,45,other,278731,10887,1,9,26,30,21,10,2,0.873927731,9,26.25838429,31.8431733,21,9.3542386,1.670276078,-0.063036135,0,0.009569789,0.059457203,0,-0.058705582,-0.109907974
