,score
0,0.4589750648125565
1,0.46272877327999645
2,0.4686102962630196
3,0.47325173056803477
4,0.5747935651284952
5,0.5876200900998048
6,0.5859329754213713
7,0.5885994255763056
8,0.6690038463101087
9,0.6764647417806433
10,0.6779627227190645
11,0.6810311820217811
12,0.7379141873915007
13,0.7401886810747258
14,0.7419152071343431
15,0.7410934092814105
16,0.769958869848202
17,0.7709044795135283
18,0.7719247737937749
19,0.7720912698516618
20,0.786622096225341
21,0.7872501869470137
22,0.7872408960266277
23,0.7882443720629542
