,lottary
0,2.1843864990621012e-07
1,7.564351995639882e-07
2,8.643627079011272e-08
3,3.058030891210978e-07
4,3.76601610534502e-07
5,1.1839522833665507e-08
6,2.48458046976018e-07
7,1.099080869478702e-06
8,2.3716191323318495e-06
9,1.5342164840509295e-07
10,6.514990406555108e-07
11,2.708661747183428e-07
12,2.860816879840849e-06
13,1.087003930320721e-06
14,1.97976816223121e-07
15,2.831347687029123e-07
16,4.405852240522485e-07
17,3.2320181524362256e-07
18,9.261301307215751e-08
19,4.425466945406131e-07
20,4.922287335155744e-08
21,3.5034124572786194e-07
22,4.493390065752192e-07
23,4.538157646238449e-08
24,4.892733282643736e-07
25,1.0691462905902026e-07
26,1.8145450198909521e-06
27,1.6546447521442592e-06
28,1.8404243634602635e-07
29,1.0757760833353057e-07
30,1.4027225608057166e-07
31,2.1917808611508716e-07
32,3.8430094772896424e-07
33,4.802491201353972e-08
34,9.414650038715821e-08
35,8.409236875518194e-07
36,2.1810956495947998e-07
37,3.8225386140137223e-07
38,7.297494458693793e-08
39,2.0146549387824301e-07
40,4.96916093952036e-07
41,2.3876028869733202e-08
42,1.3684887857174509e-06
43,2.986006351229095e-07
44,1.878741401830576e-06
45,4.588400679996724e-07
46,2.0566567036599453e-06
47,3.975328751616288e-07
48,6.358212443792121e-07
49,6.721530003675945e-07
50,5.666756342739707e-07
51,8.218906256129678e-07
52,1.964621922101287e-07
53,2.860816879840849e-06
54,7.947765554740152e-07
55,2.0865094647688452e-07
56,4.1232954395706784e-07
57,5.891859865204703e-07
58,2.520184493411687e-07
59,1.9486533883840843e-07
60,1.607059709993851e-08
61,4.910470677545834e-07
62,9.365268948450486e-07
63,4.22756608212781e-07
64,1.1124651497689526e-07
65,1.3500960421599067e-08
66,1.5173236414910143e-07
67,2.0011285739333457e-08
68,9.061665133447498e-07
69,1.4240906548211994e-07
70,4.3079072286531227e-07
71,4.733144001225173e-09
72,2.0853966291071413e-07
73,1.9383016571822808e-06
74,9.015655279161519e-07
75,2.1941970463483476e-07
76,3.068651059171981e-07
77,3.3677991501664295e-08
78,5.692180673551326e-07
79,1.5019414812312294e-07
80,4.413249492316578e-08
81,2.4993444615059207e-08
82,8.169707029143009e-08
83,1.8078824419721143e-07
84,5.659364651085815e-07
85,3.537225354303411e-08
86,3.1313899358080104e-08
87,3.9691848055083095e-07
88,3.018075200041574e-07
89,7.588212430016667e-07
90,9.214373357328976e-07
91,6.557928072920133e-07
92,1.5930250820824498e-07
93,7.230414884676878e-08
94,1.630088577845906e-07
