1 try,2_tries,3_tries,4 tries,5 tries,6 tries,7 or more tries (X),rank,repet,word_likely,place_lottary,letter_lottary,ranking
0,2,17,37,29,12,2,2896,0,12,5.83E-03,2.18E-07,124000
0,4,21,38,26,9,1,926,0,36,9.54E-04,7.56E-07,295000
0,2,16,38,30,12,2,2502,0,8,3.93E-04,8.64E-08,166000
0,3,21,40,25,9,1,812,0,22,2.92E-05,3.06E-07,10500
0,2,17,35,29,14,3,1188,1,2,1.42E-03,3.77E-07,787000
0,2,8,16,26,33,14,430,0,7,4.18E-03,1.18E-08,1760000
1,5,20,35,28,10,1,248,0,44,4.36E-05,2.48E-07,11190000
2,11,34,32,15,6,1,328,0,43,1.63E-03,1.10E-06,39600
0,7,26,35,20,10,3,852,1,14,4.24E-04,2.37E-06,307000
0,1,13,34,34,15,2,709,1,1,8.16E-05,1.53E-07,3030000
0,5,32,40,17,4,0,1679,0,15,6.19E-04,6.51E-07,622000
1,10,47,32,9,2,0,164,0,19,1.14E-03,2.71E-07,10190000
6,14,33,27,13,5,1,1631,0,118,9.92E-04,2.86E-06,450000
0,8,28,30,20,11,3,2866,0,72,7.49E-04,1.09E-06,493000
0,7,39,38,13,3,0,1810,0,19,1.59E-03,1.98E-07,573000
0,7,27,35,22,8,1,1524,0,31,3.73E-04,2.83E-07,973000
0,3,20,39,27,10,1,617,1,7,1.33E-05,4.41E-07,11440000
0,6,31,38,19,5,0,813,0,30,6.75E-04,3.23E-07,2290000
0,5,28,38,22,7,1,206,1,6,3.53E-04,9.26E-08,23550000
1,7,24,32,24,11,1,2395,0,37,4.48E-04,4.43E-07,349000
0,3,18,43,27,8,1,1359,1,1,3.38E-04,4.92E-08,1230000
0,10,36,35,14,3,0,3281,0,34,2.12E-03,3.50E-07,495000
0,3,19,33,26,14,3,3081,0,44,3.53E-05,4.49E-07,522000
0,6,29,34,21,8,2,1074,0,10,2.34E-03,4.54E-08,12600
0,6,22,33,24,12,3,844,0,40,1.14E-04,4.89E-07,1060000
0,2,10,25,36,23,4,476,0,13,2.09E-03,1.07E-07,45600
2,17,32,29,15,5,1,2994,0,59,7.06E-05,1.81E-06,314000
0,4,35,36,17,6,1,2440,1,18,3.21E-04,1.65E-06,1580000
0,6,30,33,19,9,2,1709,0,22,1.14E-03,1.84E-07,46700
0,2,11,35,36,14,2,3359,1,1,1.15E-05,1.08E-07,156000
0,6,30,33,19,10,2,93,0,6,9.99E-04,1.40E-07,11480000
0,3,19,35,29,13,2,2772,1,8,4.72E-05,2.19E-07,123000
0,10,38,35,13,3,0,763,0,28,5.20E-04,3.84E-07,13400
0,6,28,39,19,6,1,233,1,1,1.65E-03,4.80E-08,10200000
0,8,28,40,18,5,1,2988,0,13,4.79E-05,9.41E-08,1540000
5,13,25,27,19,10,2,1558,0,66,8.33E-04,8.41E-07,481000
1,12,32,30,18,6,1,146,0,38,1.02E-03,2.18E-07,10410000
1,10,26,32,21,9,1,350,0,27,1.92E-03,3.82E-07,5320000
0,5,19,33,27,13,3,2667,0,12,8.32E-05,7.30E-08,76700
1,6,17,27,27,18,5,1354,0,32,1.65E-03,2.01E-07,763000
0,7,26,35,22,9,1,652,0,50,5.73E-05,4.97E-07,148000
0,2,23,49,20,5,1,748,0,2,4.06E-04,2.39E-08,68500
0,14,35,33,14,4,0,4,1,13,4.25E-04,1.37E-06,22420000
0,5,16,23,24,22,10,680,0,35,1.54E-03,2.99E-07,1120000
0,5,21,31,24,15,4,1877,0,34,1.81E-04,1.88E-06,29500
1,6,26,36,21,8,1,922,0,43,1.16E-03,4.59E-07,693000
0,8,25,30,21,13,3,1953,1,12,8.75E-05,2.06E-06,12100
0,4,22,38,25,9,1,2260,0,36,2.08E-03,3.98E-07,205000
0,5,25,38,23,8,1,1074,0,50,3.55E-04,6.36E-07,813000
1,11,31,33,18,5,1,1878,0,30,1.28E-04,6.72E-07,988000
1,16,38,31,11,3,1,2038,0,29,2.81E-03,5.67E-07,735000
0,4,24,37,24,9,1,1015,1,13,1.37E-04,8.22E-07,3250000
0,6,26,36,23,7,1,308,0,22,1.96E-03,1.96E-07,8610000
2,19,30,27,15,6,2,3147,0,118,3.06E-04,2.86E-06,8610000
5,14,31,29,15,4,1,402,0,62,1.01E-04,7.95E-07,5180000
0,5,34,43,15,3,0,47,1,1,1.06E-03,2.09E-07,20460000
1,18,31,30,15,4,1,1647,0,19,3.02E-04,4.12E-07,381000
0,6,30,39,20,6,1,3072,0,30,2.19E-05,5.89E-07,19900
0,1,14,37,33,14,2,2654,0,10,1.06E-02,2.52E-07,15300
0,3,26,41,23,7,1,1047,0,21,4.71E-04,1.95E-07,67600
0,2,11,29,35,19,3,2479,0,1,2.49E-03,1.61E-08,88500
0,3,15,32,32,16,2,3499,1,4,6.65E-04,4.91E-07,33700
0,7,28,36,21,7,1,2139,0,54,1.30E-04,9.37E-07,624000
0,4,22,35,24,12,3,406,1,10,5.04E-03,4.23E-07,5680000
0,6,28,37,21,7,1,502,0,14,1.20E-03,1.11E-07,18200
0,2,13,35,32,15,3,94,1,2,1.12E-02,1.35E-08,140000
0,7,27,35,22,8,1,757,0,16,3.06E-03,1.52E-07,1210000
0,1,4,14,27,37,18,2374,2,0,6.20E-03,2.00E-08,478000
0,7,32,36,19,6,1,3603,0,63,5.27E-04,9.06E-07,598000
0,4,18,30,28,17,3,667,0,34,9.03E-04,1.42E-07,934000
0,5,29,40,20,5,0,1432,0,37,3.73E-04,4.31E-07,1620000
0,3,23,39,24,9,2,732,0,3,5.61E-03,4.73E-09,1620000
